"   ","ACCOUNTID","ACCOUNT","PASSWORD","ACCOUNTTYPE","OWNER","NAME","CONTACTINFO","IDCARDTYPE","IDCARDNO","ACCOUNTSTATUS","LOGONSTATUS","VIEWPERMISSION1","VIEWPERMISSION2","PERMISSIONID"
"1","2","ouyang","888888","1","1","欧阳","13811111111","1","111111111111111","1","0","0","0","1"
"2","9","admin11","888888","0","7","","","1","","1","0","0","0","21"
"3","10","admin12","888888","0","7","","","1","","0","0","0","0","22"
"4","11","admin2","888888","1","1","","","1","","1","0","0","0","2"
"5","12","admin3","888888","0","1","","","1","","1","0","0","0","3"
"6","13","foreground1","888888","1","1","","","1","","1","0","0","0","1"
"7","14","foreground2","888888","1","1","","","1","","1","0","0","0","2"
"8","15","z1","888888","1","1","","","1","","0","0","0","0","1"
"9","16","z2","888888","1","1","","","1","","0","0","0","0","1"
"10","17","z3","888888","1","1","","","1","","0","0","0","0","1"
"11","19","z4","888888","1","1","","","1","","1","0","0","0","1"
"12","20","z5","888888","1","1","","","1","","1","0","0","0","1"
"13","21","z6","888888","1","1","","","1","","0","0","0","0","2"
"14","1","zhangsan","888888","0","0","张三","13811111111","1","111111111111111","1","0","0","0","2"
"15","5","lisi","888888","1","1","李四","123456","1","123456","0","0","0","0","1"
"16","6","wangwu","888888","1","1","王五","123456","2","123456","1","0","0","0","2"
"17","7","admin1","888888","0","1","管理者1","123456","1","123456","1","0","0","0","3"
